@RELATION clima
@ATTRIBUTE FECHA date dd-MM
@ATTRIBUTE T_MAX real
@ATTRIBUTE T_MED real
@ATTRIBUTE T_MIN real
@ATTRIBUTE H_R_MAX real
@ATTRIBUTE H_R_MED real
@ATTRIBUTE H_R_MIN real
@ATTRIBUTE RADIACION real
@ATTRIBUTE class {VERDADERO,FALSO}
@ATTRIBUTE LLUVIA2 real
@ATTRIBUTE LLUVIA_MIN real
@ATTRIBUTE T_S_MAX real
@ATTRIBUTE T_S_MED real
@ATTRIBUTE T_S_MIN real
@ATTRIBUTE V_MAX real
@ATTRIBUTE V_MED real
@ATTRIBUTE V_MIN real
@ATTRIBUTE CV1 integer
@ATTRIBUTE CV2 integer 
@ATTRIBUTE CV3 integer
@ATTRIBUTE CV4 integer
@ATTRIBUTE DIRECCION integer
@ATTRIBUTE HORAS integer
@ATTRIBUTE H_T integer
@ATTRIBUTE H_HR integer
@ATTRIBUTE H_R integer
@ATTRIBUTE H_LL integer
@ATTRIBUTE H_TS integer
@ATTRIBUTE H_V integer
@ATTRIBUTE H_D integer
@ATTRIBUTE CALCULOS integer
@ATTRIBUTE MTMEN0 integer
@ATTRIBUTE MTMEN7 integer
@ATTRIBUTE MTMA30 integer
@ATTRIBUTE MVMA50 integer

@DATA
25-1,17.41,10.59917,4.73,90.3,71.67501,43.9,12.48115,FALSO,0,0,10.49,9.6025,8.39,10.2,1.307584,0,13,40,470,917,4,24,24,24,24,24,24,24,24,1,0,386,0,0
26-1,18.34,10.55458,4.21,93.3,80.49583,53.9,11.392,FALSO,0,0,10.71,9.320832,7.86,9.6,1.167042,0,6,29,505,900,4,24,24,24,24,24,24,24,24,1,0,551,0,0
27-1,17.44,10.30833,3.947,92.6,80.575,52.5,12.93833,FALSO,0.1,1,10.27,9.263751,7.94,11.7,1.272458,0,3,29,483,925,4,24,24,24,24,24,24,24,24,1,0,499,0,0
28-1,20.53,10.88696,2.988,92.4,73.86208,34.55,13.49845,FALSO,0.1,1,10.13,8.872916,7.3,9.3,1.620042,0,117,163,216,944,4,24,24,24,24,24,24,24,24,1,0,515,0,0
29-1,18.93,11.33958,5.18,93.2,69.60082,36.2,13.63003,FALSO,0,0,10.23,9.002084,7.6,14.7,2.727125,0,168,360,122,790,4,24,24,24,24,24,24,24,24,1,0,189,0,0
30-1,16.86,10.89625,5.25,82.3,73.73751,52.8,11.3834,FALSO,0,0,10.58,9.197083,7.76,10.5,1.9525,0,19,28,637,756,4,24,24,24,24,24,24,24,24,1,0,379,0,0
31-1,19.43,13.36333,8.51,89.1,76.20417,48.5,12.46783,FALSO,0,0,11.92,11.01042,10.36,13.5,1.7335,0,22,28,609,781,4,24,24,24,24,24,24,24,24,1,0,0,0,0
1-2,18.87,11.24125,5.29,80.2,61.43584,31.23,14.35817,FALSO,0,0,11.09,9.962916,8.52,12.6,2.230417,0,94,322,80,944,4,24,24,24,24,24,24,24,24,1,0,323,0,0
2-2,18.72,10.45417,4.01,84,64.19708,31.23,12.74305,FALSO,0,0,11.07,9.365417,7.51,15.3,2.914417,0,162,345,30,903,4,24,24,24,24,24,24,24,24,1,0,553,0,0
3-2,16.48,10.36025,3.034,86.2,74.40835,53.9,12.52768,FALSO,0,0,10.96,9.549997,7.77,12.3,1.622667,0,10,14,609,807,4,24,24,24,24,24,24,24,24,1,0,527,0,0
