@RELATION clima
@ATTRIBUTE FECHA date dd-MM
@ATTRIBUTE T_MAX real
@ATTRIBUTE T_MED real
@ATTRIBUTE T_MIN real
@ATTRIBUTE H_R_MAX real
@ATTRIBUTE H_R_MED real
@ATTRIBUTE H_R_MIN real
@ATTRIBUTE RADIACION real
@ATTRIBUTE class {VERDADERO,FALSO}
@ATTRIBUTE LLUVIA2 real
@ATTRIBUTE LLUVIA_MIN real
@ATTRIBUTE T_S_MAX real
@ATTRIBUTE T_S_MED real
@ATTRIBUTE T_S_MIN real
@ATTRIBUTE V_MAX real
@ATTRIBUTE V_MED real
@ATTRIBUTE V_MIN real
@ATTRIBUTE CV1 integer
@ATTRIBUTE CV2 integer 
@ATTRIBUTE CV3 integer
@ATTRIBUTE CV4 integer
@ATTRIBUTE DIRECCION integer
@ATTRIBUTE HORAS integer
@ATTRIBUTE H_T integer
@ATTRIBUTE H_HR integer
@ATTRIBUTE H_R integer
@ATTRIBUTE H_LL integer
@ATTRIBUTE H_TS integer
@ATTRIBUTE H_V integer
@ATTRIBUTE H_D integer
@ATTRIBUTE CALCULOS integer
@ATTRIBUTE MTMEN0 integer
@ATTRIBUTE MTMEN7 integer
@ATTRIBUTE MTMA30 integer
@ATTRIBUTE MVMA50 integer

@DATA
11-7,29.5,20.9075,8.41,82.5,56.72667,31.9,34.12059,FALSO,0,0,26.39,24.115,21.63,30.6,6.873458,0,65,39,1116,220,3,24,24,24,24,24,24,24,24,1,0,0,0,0
12-7,30.95,22.65,10.06,87.9,43.62625,14.81,35.13103,FALSO,0,0,26.55,24.45792,22.1,24,4.995583,0,802,190,265,183,1,24,24,24,24,24,24,24,24,1,0,0,69,0
13-7,30.31,23.02583,9.88,69.6,37.29749,19.46,32.55907,FALSO,0,0,26.65,24.66625,22.35,26.1,5.772167,0,743,243,345,109,1,24,24,24,24,24,24,24,24,1,0,0,2,0
14-7,27.93,20.72708,11.69,88.4,52.59,16.22,35.2206,FALSO,0,0,26.69,24.85875,22.7,33.9,8.840959,0,540,353,393,154,1,24,24,24,24,24,24,24,24,1,0,0,0,0
15-7,26.03,19.29875,11.76,94.4,57.17125,28.03,34.81859,FALSO,0,0,25.93,24.22333,22.2,27.9,7.498374,0,65,69,1005,301,3,24,24,24,24,24,24,24,24,1,0,0,0,0
16-7,26.73,19.84667,10.03,74.7,46.52167,27.61,35.00421,FALSO,0,0,25.97,23.88,21.64,27.3,7.675541,0,188,115,852,285,3,24,24,24,24,24,24,24,24,1,0,0,0,0
17-7,27.95,20.02458,8.84,75.3,49.54208,29.65,34.67624,FALSO,0,0,25.96,23.88958,21.56,33.3,8.900624,0,88,244,916,192,3,24,24,24,24,24,24,24,24,1,0,0,0,0
18-7,29.15,21.93583,13.01,75.5,47.11,30.45,32.34679,FALSO,0,0,26.24,24.10709,21.8,29.7,7.978876,0,101,54,1112,173,3,24,24,24,24,24,24,24,24,1,0,0,0,0
19-7,31.17,22.65875,11.23,69.9,42.03625,18.5,33.33593,FALSO,0,0,26.63,24.41083,22.1,27.9,7.842875,0,117,71,1001,251,3,24,24,24,24,24,24,24,24,1,0,0,118,0
20-7,32.15,22.59792,12.41,69.9,38.02666,15.42,29.37801,FALSO,0,0,26.66,24.62,22.46,31.8,5.792624,0,333,119,697,291,3,24,24,24,24,24,24,24,24,1,0,0,31,0
21-7,31.29,22.35417,9.81,67.8,41.29042,18.45,34.31843,FALSO,0,0,26.82,24.6025,22.21,28.8,5.889292,0,179,71,955,235,3,24,24,24,24,24,24,24,24,1,0,0,347,0
22-7,28.25,19.72542,12.82,79.4,48.53374,24.82,32.89572,VERDADERO,2.3,3,26.06,24.44125,22.43,27.6,6.459458,0,947,130,201,162,1,24,24,24,24,24,24,24,24,1,0,0,0,0
23-7,28.44,19.6975,7.46,87.3,52.22375,22.8,34.03847,FALSO,0,0,25.77,23.79959,21.61,31.2,6.184583,0,794,364,222,60,1,24,24,24,24,24,24,24,24,1,0,0,0,0
24-7,30.85,22.47541,13.98,71.3,45.08917,16.84,34.06619,FALSO,0,0,26.35,24.35708,22.18,29.1,7.393167,0,526,140,591,183,3,24,24,24,24,24,24,24,24,1,0,0,17,0
25-7,31.75,22.57583,9.37,74.6,39.86584,21.29,33.56988,FALSO,0,0,26.76,24.53833,22.21,28.8,6.794625,0,278,53,895,214,3,24,24,24,24,24,24,24,24,1,0,0,268,0
26-7,30.92,22.39375,10.46,59.6,36.95625,22.46,33.29327,FALSO,0,0,26.76,24.74583,22.53,29.7,6.364,0,311,47,888,194,3,24,24,24,24,24,24,24,24,1,0,0,97,0
27-7,30.91,23.48667,11.35,66.2,42.4725,26.18,32.33632,FALSO,0,0,27.03,24.93709,22.78,28.5,8.322959,0,186,39,982,233,3,24,24,24,24,24,24,24,24,1,0,0,130,0
28-7,32.22,23.89542,12.6,71.9,47.54959,29.46,29.39881,FALSO,0,0,27.19,25.25083,23.11,31.2,8.957999,0,264,47,883,246,3,24,24,24,24,24,24,24,24,1,0,0,134,0
29-7,33.3,26.3375,19.02,50.1,32.5775,17,31.19821,FALSO,0,0,27.58,25.65458,23.69,23.4,5.8675,0,387,56,633,364,3,24,24,24,24,24,24,24,24,1,0,0,456,0
30-7,31.41,22.95625,9.33,65.4,35.02583,12.65,32.44567,FALSO,0,0,27.17,25.42208,23.23,22.2,5.041708,0,823,243,173,201,1,24,24,24,24,24,24,24,24,1,0,0,267,0
31-7,28.59,20.96625,9.74,68.6,51.82917,34.65,31.67104,FALSO,0,0,27.16,25.2275,22.93,29.4,5.819042,0,615,5,672,148,3,24,24,24,24,24,24,24,24,1,0,0,0,0
1-8,29.46,21.1575,10.96,84.8,56.72458,30.74,31.49035,FALSO,0,0,27.03,25.1525,23.01,25.2,6.336417,0,547,78,652,163,3,24,24,24,24,24,24,24,24,1,0,0,0,0
2-8,26.46,19.8825,10.66,92.8,72.86251,51.9,26.63615,FALSO,0,0,26.19,24.77333,22.93,31.8,7.336626,0,264,148,793,235,3,24,24,24,24,24,24,24,24,1,0,0,0,0
3-8,29.18,21.75208,13.77,90.8,56.70209,23.18,30.92628,FALSO,0,0,26.52,24.82625,22.86,27.6,6.281959,0,282,16,942,200,3,24,24,24,24,24,24,24,24,1,0,0,0,0
4-8,31.45,21.04625,8.11,78.3,46.22833,21.7,31.82275,FALSO,0,0,26.8,24.55167,22.19,28.8,5.017707,0,375,137,760,168,3,24,24,24,24,24,24,24,24,1,0,0,254,0
5-8,30.6,22.68458,13.77,67.6,41.91875,25.97,23.38466,FALSO,0,0,26.27,24.67583,22.93,30.9,6.599584,0,475,70,679,216,3,24,24,24,24,24,24,24,24,1,0,0,17,0
6-8,31.59,20.70333,8.2,71.8,40.69708,17.11,29.25505,FALSO,0,0,26.35,24.29458,22.1,22.2,3.845458,0,683,185,376,196,1,24,24,24,24,24,24,24,24,1,0,0,184,0
7-8,30.11,20.56792,8.14,67.6,46.0675,22.09,32.4981,FALSO,0,0,26.27,24.39292,22.13,26.4,6.981167,0,264,234,729,213,3,24,24,24,24,24,24,24,24,1,0,0,1,0
8-8,29.91,21.91916,10.48,80.9,46.6525,23.81,30.42977,FALSO,0,0,26.36,24.43375,22.29,27,4.881958,0,377,42,819,202,3,24,24,24,24,24,24,24,24,1,0,0,0,0
9-8,29.06,21.86458,11.65,66.6,40.54876,22.46,27.50992,FALSO,0.2,1,26.19,24.49458,22.48,27.6,5.375084,0,766,43,338,293,1,24,24,24,24,24,24,24,24,1,0,0,0,0
10-8,24.76,19.87542,12.02,69.1,55.97917,46,19.03817,FALSO,0,0,24.78,23.675,22.45,36.3,10.90946,0,931,197,199,113,1,24,24,24,24,24,24,24,24,1,0,0,0,0
11-8,28.18,21.54917,13.65,87.2,51.44625,21.62,30.21136,FALSO,0,0,25.42,23.63875,21.78,24.9,6.590334,0,1122,149,137,32,1,24,24,24,24,24,24,24,24,1,0,0,0,0
12-8,29.82,20.19917,7.75,59.6,40.43458,19,30.53661,FALSO,0,0,25.48,23.415,21.24,28.8,5.680542,0,98,126,1060,156,3,24,24,24,24,24,24,24,24,1,0,0,0,0
13-8,31.84,21.77834,9.87,70.8,43.97458,25.29,29.04131,FALSO,0,0,25.97,23.82959,21.7,26.7,7.134917,0,86,92,1034,228,3,24,24,24,24,24,24,24,24,1,0,0,203,0
14-8,28.9,21.95708,11.75,73.8,46.16583,30.42,29.17577,FALSO,0,0,25.91,24.12334,22.21,35.4,7.92775,0,211,49,891,289,3,24,24,24,24,24,24,24,24,1,0,0,0,0
15-8,29.91,20.27917,8.45,86.2,54.14376,20.74,29.40851,FALSO,0,0,25.61,23.74208,21.73,21,4.272084,0,401,551,324,164,2,24,24,24,24,24,24,24,24,1,0,0,0,0
16-8,29.59,21.05334,9.38,70.7,47.785,26.53,28.98399,FALSO,0,0,25.78,23.79542,21.75,27.6,5.705,0,452,182,582,224,3,24,24,24,24,24,24,24,24,1,0,0,0,0
17-8,29.78,21.54459,11.12,72.9,50.92207,29.98,28.58807,FALSO,0,0,26.05,24.12458,22.06,27.6,5.821917,0,428,15,850,147,3,24,24,24,24,24,24,24,24,1,0,0,0,0
18-8,29.78,21.04625,10.19,74.8,48.66791,29.12,27.3132,FALSO,0,0,25.93,24.03708,22.03,29.4,5.316333,0,581,61,565,233,1,24,24,24,24,24,24,24,24,1,0,0,0,0
19-8,28.59,20.20417,10.29,75.6,49.86917,28.93,29.38673,FALSO,0,0,25.66,23.91667,22,29.4,6.844958,0,147,267,791,235,3,24,24,24,24,24,24,24,24,1,0,0,0,0
20-8,29.61,20.30208,8.24,73,46.84666,25.27,28.66745,FALSO,0,0,25.61,23.555,21.44,24.3,4.498792,0,143,358,564,375,3,24,24,24,24,24,24,24,24,1,0,0,0,0
21-8,30.13,21.0075,9.06,68.1,44.9575,27.7,27.08006,FALSO,0,0,25.64,23.66583,21.58,25.8,5.103207,0,128,54,1045,213,3,24,24,24,24,24,24,24,24,1,0,0,2,0
22-8,29.21,20.01458,9.09,71.1,51.2425,26.17,29.02856,FALSO,0,0,25.57,23.66917,21.49,33.6,5.896166,0,639,56,537,208,1,24,24,24,24,24,24,24,24,1,0,0,0,0
23-8,25.99,18.71708,9.76,83.9,62.94833,39.96,27.74794,FALSO,0,0,24.89,23.46208,21.55,33,8.439626,0,37,3,1220,180,3,24,24,24,24,24,24,24,24,1,0,0,0,0
24-8,26.77,19.17542,10.11,87.1,54.00293,29.37,26.41003,FALSO,0,0,24.51,23.16833,21.38,25.8,6.782458,0,219,17,1070,134,3,24,24,24,24,24,24,24,24,1,0,0,0,0
25-8,23.79,16.47833,6.52,86.7,56.17583,33.3,27.89814,FALSO,0,0,23.7,22.39083,20.65,32.1,8.498459,0,238,37,996,169,3,24,24,24,24,24,24,24,24,1,0,35,0,0
26-8,23.15,16.63333,9.57,92.3,67.28332,42.1,26.56357,FALSO,0,0,23.52,22.16625,20.78,28.2,5.681583,0,819,335,229,57,1,24,24,24,24,24,24,24,24,1,0,0,0,0
27-8,25.23,16.49667,6.67,84.5,55.60207,31.37,23.94532,VERDADERO,2.9,4,23.06,21.63209,19.78,30.3,3.489083,0,477,109,711,143,3,24,24,24,24,24,24,24,24,1,0,49,0,0
28-8,25.54,17.04667,6.75,83.7,58.49416,32.58,25.7413,FALSO,0,0,22.93,21.49375,19.65,24.3,6.721875,0,442,24,746,228,3,24,24,24,24,24,24,24,24,1,0,26,0,0
29-8,26.56,18.67333,7.62,93,60.64042,34.2,27.05893,FALSO,0,0,23.43,21.81541,19.81,27.9,6.146583,0,257,127,852,204,3,24,24,24,24,24,24,24,24,1,0,0,0,0
30-8,26.83,19.24125,8.29,76,47.53791,26.65,27.4646,FALSO,0,0,23.47,21.94625,20.04,29.7,6.464666,0,179,52,942,267,3,24,24,24,24,24,24,24,24,1,0,0,0,0
31-8,28.64,18.84333,8.9,69.5,47.98,25.77,25.94905,FALSO,0,0,23.66,21.86792,19.97,28.5,4.207667,0,424,242,461,313,3,24,24,24,24,24,24,24,24,1,0,0,0,0
1-9,27.38,18.32875,9.7,68.3,46.18333,21.35,20.58286,FALSO,0,0,22.98,21.74,20.04,35.4,5.788792,0,180,240,810,210,3,24,24,24,24,24,24,24,24,1,0,0,0,0
2-9,27.16,20.93417,11.02,57.2,41.81833,28.05,26.47815,FALSO,0,0,23.63,21.8775,20.03,29.7,8.287042,0,125,61,986,268,3,24,24,24,24,24,24,24,24,1,0,0,0,0
3-9,25.31,19.73417,10.75,79.1,53.62083,36.09,23.51437,FALSO,0,0,23.48,22.13417,20.53,34.2,10.11125,0,286,79,880,195,3,24,24,24,24,24,24,24,24,1,0,0,0,0
4-9,24.12,15.21167,6.01,93.6,64.64249,27.46,26.15296,FALSO,0,0,22.51,21.14167,19.59,23.1,5.265168,0,893,298,212,37,1,24,24,24,24,24,24,24,24,1,0,55,0,0
5-9,25.27,15.09083,3.388,85.6,55.92791,27.78,27.51574,FALSO,0,0,22.03,20.4175,18.49,25.5,4.695208,0,1172,92,114,62,1,24,24,24,24,24,24,24,24,1,0,337,0,0
6-9,26.71,16.16083,3.883,73.2,49.11418,27.74,25.98375,FALSO,0,0,22.31,20.28208,18.23,23.7,3.468667,0,965,29,285,161,1,24,24,24,24,24,24,24,24,1,0,321,0,0
7-9,28.18,16.16167,5.19,70.5,49.36708,19.46,24.0872,FALSO,0,0,22.29,20.47458,18.5,31.8,3.483667,0,937,93,300,110,1,24,24,24,24,24,24,24,24,1,0,229,0,0
8-9,26.7,16.66333,3.919,73.7,46.85833,19.77,26.39646,FALSO,0,0,22.16,20.35667,18.32,30.6,6.484833,0,225,376,670,169,3,24,24,24,24,24,24,24,24,1,0,280,0,0
9-9,23.81,15.47875,5.66,87.4,66.06251,47.9,23.08765,FALSO,0,0,21.47,20.12042,18.44,25.2,4.524,0,768,99,229,344,1,24,24,24,24,24,24,24,24,1,0,159,0,0
10-9,27.09,17.04875,5.2,91.1,60.60666,27.67,25.93542,VERDADERO,2.6,4,22.01,20.20584,18.16,26.4,5.799084,0,355,65,837,183,3,24,24,24,24,24,24,24,24,1,0,158,0,0
11-9,25.91,16.9825,6.67,75.1,58.65499,36.37,17.56712,FALSO,0,0,21.86,20.4075,18.8,20.4,3.782249,0,227,145,917,151,3,24,24,24,24,24,24,24,24,1,0,63,0,0
12-9,27.76,17.80208,6.29,80.1,53.765,29.17,23.15574,FALSO,0,0,22.3,20.45917,18.47,22.8,3.534416,0,403,64,521,452,3,24,24,24,24,24,24,24,24,1,0,90,0,0
13-9,28.42,18.13875,5.97,74.1,47.64166,24.66,25.10649,FALSO,0,0,22.53,20.61375,18.66,25.8,4.346708,0,62,35,1198,145,3,24,24,24,24,24,24,24,24,1,0,103,0,0
14-9,22.61,17.20458,8.87,86.9,70.275,55.2,18.64829,FALSO,0,0,21.74,20.59458,19.21,26.4,7.168458,0,143,163,886,248,3,24,24,24,24,24,24,24,24,1,0,0,0,0
15-9,23.88,17.85125,12.24,94.8,78.07917,58.9,18.69829,FALSO,0,0,21.8,20.59583,19.3,31.5,7.506542,0,139,93,998,210,3,24,24,24,24,24,24,24,24,1,0,0,0,0
16-9,20.46,16.61542,14.47,92.5,83.85418,70.2,9.824471,VERDADERO,2.8,28,20.85,19.80458,17.52,32.4,9.672875,0,16,39,1191,194,3,24,24,24,24,24,24,24,24,1,0,0,0,0
17-9,22.24,17.59375,15.07,91.6,74.90415,56.5,17.77774,FALSO,0,0,20.2,18.74459,17,37.8,15.7225,3,0,3,1400,37,3,24,24,24,24,24,24,24,24,1,0,0,0,0
18-9,21.8,16.50958,10.11,92.5,80.53751,62.5,17.51083,FALSO,0.3,3,20.13,19.12958,18.07,30.6,10.47546,0,105,1,1220,114,3,24,24,24,24,24,24,24,24,1,0,0,0,0
19-9,25.65,17.24208,7.1,94.9,68.08334,40.3,22.69617,FALSO,0,0,20.82,19.03292,17.28,27.9,5.800749,0,315,27,870,228,3,24,24,24,24,24,24,24,24,1,0,0,0,0
20-9,25.89,18.05459,8.72,88.7,62.01334,38.94,21.58103,FALSO,0,0,21.2,19.64208,17.86,27,5.713042,0,52,56,991,341,3,24,24,24,24,24,24,24,24,1,0,0,0,0
21-9,22.09,14.91208,7.39,96.1,73.68334,41.8,16.01694,FALSO,0,0,19.97,19.03708,17.96,28.2,4.645542,0,665,6,175,594,1,24,24,24,24,24,24,24,24,1,0,0,0,0
22-9,19.75,15.58958,11.98,89.9,74.87085,56.9,11.11583,FALSO,0,0,19.38,18.67375,17.86,21.6,4.893791,0,702,109,274,355,1,24,24,24,24,24,24,24,24,1,0,0,0,0
23-9,19.6,15.06792,12.9,93,75.32915,55.3,14.22047,VERDADERO,5.6,32,19.12,18.4,17.51,27.3,5.276625,0,844,157,188,251,1,24,24,24,24,24,24,24,24,1,0,0,0,0
24-9,19.67,14.94208,10.05,95.9,79.10834,54.7,19.99483,FALSO,0,0,18.56,17.69,16.53,20.1,4.773499,0,881,233,233,93,1,24,24,24,24,24,24,24,24,1,0,0,0,0
25-9,21.47,14.85458,7.35,96.3,78.12083,55.3,17.07556,FALSO,0,0,18.07,16.91125,15.76,27.3,5.066791,0,326,123,635,356,3,24,24,24,24,24,24,24,24,1,0,0,0,0
26-9,21.8,15.06042,9.24,96.6,78.40002,55.4,11.81484,FALSO,0,0,18.01,17.08208,16.07,19.5,3.152625,0,386,511,326,217,2,24,24,24,24,24,24,24,24,1,0,0,0,0
27-9,22.2,14.59625,4.88,97.5,76.07916,48.5,13.83896,FALSO,0,0,17.92,16.67042,15.18,19.2,3.368958,0,360,71,833,176,3,24,24,24,24,24,24,24,24,1,0,212,0,0
28-9,23.94,15.30625,6.51,95.3,75.57083,49.4,21.40776,FALSO,0,0,19.2,17.225,15.28,24.3,4.728042,0,2,24,1225,189,3,24,24,24,24,24,24,24,24,1,0,69,0,0
29-9,22.46,15.0175,6.39,93.9,70.06667,45.7,21.62072,FALSO,0,0,19.02,17.42834,15.8,31.2,6.194833,0,0,226,1137,77,3,24,24,24,24,24,24,24,24,1,0,79,0,0
30-9,23.4,16.4025,9.17,82.5,67.1404,38.57,16.47158,FALSO,0.1,1,18.67,17.52917,16.29,31.5,7.215751,0,0,6,1287,147,3,24,24,24,24,24,24,24,24,1,0,0,0,0
1-10,19.88,14.6725,12.85,95.5,82.60835,58.5,8.288891,VERDADERO,2.3,23,17.73,17.24625,16.57,26.4,5.374458,0,215,4,915,306,3,24,24,24,24,24,24,24,24,1,0,0,0,0
2-10,20.73,15.32375,12.02,93.8,82.49583,58.8,13.39156,FALSO,0.3,3,17.61,16.48333,15.3,22.5,4.005375,0,280,153,858,149,3,24,24,24,24,24,24,24,24,1,0,0,0,0
3-10,21.82,16.2425,9.98,97.7,84.96667,64,19.38247,FALSO,0,0,18.62,17.06791,15.31,25.8,6.388667,0,200,49,932,259,3,24,24,24,24,24,24,24,24,1,0,0,0,0
4-10,20.38,16.06042,10.54,97.3,84.43749,67.5,18.59186,FALSO,0,0,18.81,17.51916,15.8,27.6,8.606542,0,117,7,1196,120,3,24,24,24,24,24,24,24,24,1,0,0,0,0
5-10,18.95,15.41833,12.79,95.7,82.66667,61,16.57155,FALSO,0,0,18.53,17.31875,15.03,27.9,8.628625,0,19,5,1246,170,3,24,24,24,24,24,24,24,24,1,0,0,0,0
6-10,22.29,14.75625,9.05,96.7,80.47917,54.7,13.65534,FALSO,0,0,18.18,17.01916,15.65,19.2,2.420542,0,505,83,635,217,3,24,24,24,24,24,24,24,24,1,0,0,0,0
7-10,23.5,13.7825,4.24,96,74.04166,41.8,19.56165,FALSO,0,0,18.74,16.81542,14.95,23.1,2.951334,0,642,58,635,105,1,24,24,24,24,24,24,24,24,1,0,369,0,0
8-10,19.26,14.50542,9.17,93.5,74.925,54.9,11.8768,FALSO,0.8,8,17.65,16.74875,15.87,39,9.308875,0,126,87,1053,174,3,24,24,24,24,24,24,24,24,1,0,0,0,0
9-10,15.27,11.9775,7.08,93.7,78.09583,58.1,13.40646,VERDADERO,1.6,15,16.82,15.86083,14.48,27.9,7.537292,0,262,24,627,527,3,24,24,24,24,24,24,24,24,1,0,0,0,0
10-10,11.64,8.454167,4.42,85.1,72.175,60.2,12.15385,FALSO,0.7,7,14.56,13.41875,12.59,42,10.35521,0,991,157,117,175,1,24,24,24,24,24,24,24,24,1,0,551,0,0
11-10,17.39,8.813043,-2.319,97.5,65.32626,26.45,21.60873,FALSO,0,0,14.51,12.69708,11.09,25.8,6.51925,0,890,177,355,18,1,24,24,24,24,24,24,24,24,1,198,563,0,0
12-10,19.54,14.11291,10.66,95.1,80.20416,59.1,19.27491,FALSO,0,0,16.29,14.25833,12.9,29.4,7.793707,0,962,471,7,0,1,24,24,24,24,24,24,24,24,1,0,0,0,0
13-10,23.3,13.14542,4.46,98.4,75.66333,27.42,19.96852,FALSO,0,0,16.8,14.91167,13.17,18.3,3.361249,0,782,592,26,40,1,24,24,24,24,24,24,24,24,1,0,357,0,0
14-10,24.17,13.09075,2.106,96.6,67.30126,31.52,20.48593,FALSO,0,0,17.32,15.28167,13.13,23.4,5.163542,0,339,64,794,243,3,24,24,24,24,24,24,24,24,1,0,514,0,0
15-10,23.43,12.67717,-0.079,92.2,59.73083,25.75,20.88342,FALSO,0,0,16.86,15.10083,13.01,34.2,8.577334,0,635,50,624,131,1,24,24,24,24,24,24,24,24,1,3,519,0,0
16-10,22.27,13.4825,4.06,97.5,76.96252,41.5,14.80984,FALSO,0.7,7,17.23,15.53167,14.03,26.4,5.087124,0,287,243,812,98,3,24,24,24,24,24,24,24,24,1,0,146,0,0
17-10,15.87,11.92683,3.156,94.6,74.44582,46.2,18.54018,VERDADERO,4.2,22,16.37,15.25375,14.34,32.4,6.290709,0,1046,169,106,90,1,24,24,24,24,24,24,24,24,1,0,122,0,0
18-10,18.43,9.195834,-0.234,97.4,80.23334,48.9,18.34751,FALSO,0,0,15.26,13.51667,11.9,26.4,4.593042,0,335,3,926,176,3,24,24,24,24,24,24,24,24,1,12,554,0,0
19-10,19.11,14.01916,8.99,92.5,78.67081,57.1,18.59296,FALSO,0,0,16.14,14.28958,12.89,33.3,9.874167,0,47,48,1267,78,3,24,24,24,24,24,24,24,24,1,0,0,0,0
20-10,20.84,15.02125,10.09,93,78.65416,53.1,7.496964,VERDADERO,3.5,28,15.66,14.05333,11.51,40.5,11.95375,0,61,6,1168,205,3,24,24,24,24,24,24,24,24,1,0,0,0,0
21-10,17.16,14.86125,11.37,95.6,86.88748,74.4,7.458357,VERDADERO,15.8,110,16.29,14.36625,12.81,58.2,15.99829,0,6,0,1261,173,3,24,24,24,24,24,24,24,24,1,0,0,0,1
22-10,16.41,13.56875,11.65,84.8,75.1625,65.7,12.00118,FALSO,0,0,15.45,14.22583,13.24,22.5,6.144083,0,255,1,304,880,4,24,24,24,24,24,24,24,24,1,0,0,0,0
23-10,16.32,12.2725,6.86,92.6,78.45417,56.9,15.37258,FALSO,0,0,14.93,13.6075,12.8,24.9,5.267708,0,811,238,236,155,1,24,24,24,24,24,24,24,24,1,0,2,0,0
24-10,19.42,9.668666,1.704,98.4,80.25002,47,16.69716,FALSO,0,0,13.99,12.74792,11.21,17.1,3.04125,0,787,42,526,85,1,24,24,24,24,24,24,24,24,1,0,649,0,0
25-10,22.46,11.25975,1.63,97.7,70.46751,31.09,19.0921,FALSO,0,0,14.62,12.70417,10.92,18.9,3.159292,0,977,23,367,73,1,24,24,24,24,24,24,24,24,1,0,617,0,0
26-10,24.91,12.40242,1.591,96.8,67.24875,29.94,18.98438,FALSO,0,0,15.25,13.15625,11.05,21.9,3.216625,0,813,0,489,138,1,24,24,24,24,24,24,24,24,1,0,545,0,0
27-10,25.34,12.03654,0.693,96.5,66.13834,20.24,19.93086,FALSO,0,0,15.6,13.45833,11.3,15.6,2.184125,0,895,71,300,174,1,24,24,24,24,24,24,24,24,1,0,581,0,0
28-10,20.55,12.22567,2.952,90.8,69.90666,39.86,18.70524,FALSO,0,0,15.13,13.38542,11.61,30.6,7.304041,0,288,91,964,97,3,24,24,24,24,24,24,24,24,1,0,478,0,0
29-10,20.66,13.91042,8.83,89.8,74.08334,52.5,18.46368,FALSO,0,0,15.57,13.66459,11.56,27.3,7.155958,0,124,15,1031,270,3,24,24,24,24,24,24,24,24,1,0,0,0,0
30-10,20.29,14.23167,7.53,74.9,59.46251,40.5,14.21168,FALSO,0,0,15.03,13.6,12.33,27,6.188292,0,388,166,440,446,4,24,24,24,24,24,24,24,24,1,0,0,0,0
31-10,17.17,12.065,7.06,95.1,75.00417,48.2,17.37129,FALSO,0,0,15.3,13.76125,12.64,19.5,5.159501,0,883,304,214,39,1,24,24,24,24,24,24,24,24,1,0,0,0,0
1-11,18.53,9.873666,1.7,95.7,73.02084,42.2,16.78802,FALSO,0,0,14.86,13.15125,11.59,18,2.549709,0,684,95,572,89,1,24,24,24,24,24,24,24,24,1,0,612,0,0
2-11,21.85,11.47396,1.493,92.3,67.86126,37.52,17.31024,FALSO,0,0,14.84,12.95625,11.18,19.2,4.0185,0,1036,105,76,223,1,24,24,24,24,24,24,24,24,1,0,552,0,0
3-11,20.73,14.35917,8.88,92.4,77.975,46.7,11.61626,FALSO,0,0,14.64,13.44208,12.45,23.4,4.836166,0,862,536,37,5,1,24,24,24,24,24,24,24,24,1,0,0,0,0
4-11,20.54,12.99792,7.02,97,77.79168,46.1,12.45319,FALSO,0,0,15.29,13.71625,11.85,22.5,4.489916,0,910,239,288,3,1,24,24,24,24,24,24,24,24,1,0,0,0,0
5-11,18.78,10.26125,2.589,95.9,68.22083,35.91,16.87676,FALSO,0,0,14.61,13.21125,11.8,23.7,2.939083,0,627,192,582,39,1,24,24,24,24,24,24,24,24,1,0,580,0,0
6-11,19.81,10.33,-0.399,91.6,61.17749,22.35,17.18341,FALSO,0,0,14.17,12.52667,10.86,19.5,3.8895,0,821,126,452,41,1,24,24,24,24,24,24,24,24,1,48,566,0,0
7-11,17.79,10.76496,2.485,90.1,46.835,15.08,16.97062,FALSO,0,0,13.56,12.45833,11.53,40.5,11.01308,0,1121,261,52,6,1,24,24,24,24,24,24,24,24,1,0,375,0,0
8-11,19.56,8.316833,-1.562,68.8,43.79334,17.25,15.61615,FALSO,0,0,12.99,11.44958,9.94,18,2.840083,0,600,110,698,32,3,24,24,24,24,24,24,24,24,1,216,729,0,0
9-11,18.36,9.278208,-0.854,75,42.82208,13.15,12.12854,FALSO,0,0,12.45,11.27333,9.93,32.4,6.271251,0,795,178,450,17,1,24,24,24,24,24,24,24,24,1,199,575,0,0
10-11,20.55,11.58992,2.573,82.9,51.55834,33.3,16.75451,FALSO,0,0,13.35,11.74208,10.37,25.5,4.531958,0,879,150,331,80,1,24,24,24,24,24,24,24,24,1,0,397,0,0
11-11,18.49,8.077041,-1.864,92.8,69.40751,27.08,14.60124,FALSO,0,0,12.61,11.365,9.94,20.1,3.975584,0,1018,29,312,81,1,24,24,24,24,24,24,24,24,1,207,735,0,0
12-11,18.65,10.18733,1.667,84.9,72.68333,51.8,11.05495,FALSO,0,0,12.88,11.40333,10.06,18,3.023916,0,306,73,729,332,3,24,24,24,24,24,24,24,24,1,0,565,0,0
13-11,15.99,9.848334,0.028,93.7,80.31251,53.4,8.258688,VERDADERO,12.4,108,12.1,11.4725,10.57,64.2,15.52771,0,294,24,978,144,3,24,24,24,24,24,24,24,24,1,0,345,0,10
14-11,11.88,9.142083,6.91,94.9,85.13333,74.8,1.189487,VERDADERO,38,270,11.05,9.461249,5.95,73.8,11.63608,0,177,28,944,291,3,24,24,24,24,24,24,24,24,1,0,3,0,1
15-11,10.67,7.511666,4.28,94.3,86.325,74.9,8.753627,VERDADERO,11.3,101,10.74,9.615832,8.05,21,5.545542,0,94,8,892,446,3,24,24,24,24,24,24,24,24,1,0,632,0,0
